Player,Games Played,Games Started,Total Minutes Played,Average Minutes Per Game,Field Goals Made,Field Goals Attempted,Field Goals Percentage,3pts Made,3pts Attempted,3pts Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Total Points,Average Points Per Game,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Average Rebounds Per Game,Personal Fouls,Assists,Turnovers,Steals,Blocks,Team,Tournament Wins
Joseph Pinion,26,0,150,5.8,21,47,0.447,13,34,0.382,7,7,1,62,2.4,4,12,16,0.6,21,3,0,6,1,Arkansas,2
Kamani Johnson,27,7,322,11.9,20,42,0.476,0,0,0,20,37,0.541,60,2.2,49,37,86,3.2,63,7,11,14,6,Arkansas,2
Derrian Ford,21,0,80,3.8,4,10,0.4,0,1,0,7,8,0.875,15,0.7,2,8,10,0.5,6,8,4,1,0,Arkansas,2
Barry Dunning,16,1,50,3.1,2,8,0.25,0,2,0,1,2,0.5,5,0.3,1,2,3,0.2,4,1,2,2,0,Arkansas,2
Cade Arbogast,9,0,11,1.2,1,4,0.25,1,4,0.25,0,0,0,3,0.3,0,1,1,0.1,1,0,0,0,0,Arkansas,2
Lawson Blake,9,0,12,1.3,1,4,0.25,0,0,0,1,3,0.333,3,0.3,1,3,4,0.4,1,0,1,0,0,Arkansas,2
"Shannon Jr., Terrence",31,30,991,32,159,360,0.442,50,156,0.321,166,210,0.79,534,17.2,38,106,144,4.6,73,87,80,39,15,Ilinois,0
"Mayer, Matthew",33,33,875,26.5,133,327,0.407,67,203,0.33,80,108,0.741,413,12.5,32,144,176,5.3,79,37,46,26,41,Ilinois,0
"Hawkins, Coleman",33,33,1072,32.5,123,279,0.441,37,132,0.28,43,70,0.614,326,9.9,64,143,207,6.3,61,100,81,36,39,Ilinois,0
"Dainja, Dain",33,21,681,20.6,131,206,0.636,0,0,0,53,101,0.525,315,9.5,67,116,183,5.5,64,17,50,25,39,Ilinois,0
"Epps, Jayden",31,11,760,24.5,111,268,0.414,37,123,0.301,35,45,0.778,294,9.5,7,50,57,1.8,48,46,40,19,6,Ilinois,0
"Clark, Skyy",13,12,317,24.4,30,73,0.411,15,45,0.333,16,23,0.696,91,7,6,42,48,3.7,36,27,27,7,2,Ilinois,0
"Melendez, RJ",32,18,692,21.6,64,170,0.376,24,91,0.264,40,48,0.833,192,6,31,81,112,3.5,55,28,30,22,14,Ilinois,0
"Goode, Luke",10,0,138,13.8,15,31,0.484,8,19,0.421,2,2,1,40,4,4,12,16,1.6,17,4,2,5,4,Ilinois,0
"Harris, Sencire",33,7,479,14.5,52,121,0.43,13,41,0.317,4,20,0.2,121,3.7,19,49,68,2.1,51,29,21,27,11,Ilinois,0
"Rodgers, Ty",33,0,572,17.3,48,93,0.516,0,1,0,12,31,0.387,108,3.3,54,79,133,4,58,32,27,22,7,Ilinois,0
"Lieb, Brandon",16,0,59,3.7,7,12,0.583,0,0,0,1,5,0.2,15,0.9,5,12,17,1.1,14,2,5,0,7,Ilinois,0
"Perrin, Zacharie",1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,Ilinois,0
"Redd, AJ",2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ilinois,0
"Serven, Connor",5,0,20,4,0,1,0,0,1,0,1,2,0.5,1,0.2,1,3,4,0.8,2,0,2,1,0,Ilinois,0
"Warden, Paxton",10,0,15,1.5,1,4,0.25,0,3,0,0,0,0,2,0.2,0,0,0,0,0,0,2,0,1,Ilinois,0
"Johnson, Logan",35,35,1216,34.7,182,405,0.449,35,114,0.307,107,155,0.69,506,14.5,20,155,175,5,75,125,68,55,12,Saint Mary's,1
"Mahaney, Aidan",35,26,1067,30.5,181,423,0.428,74,185,0.4,51,71,0.718,487,13.9,7,68,75,2.1,78,70,53,31,2,Saint Mary's,1
"Ducas, Alex",35,35,1095,31.3,146,337,0.433,87,210,0.414,59,68,0.868,438,12.5,38,111,149,4.3,43,36,37,33,13,Saint Mary's,1
"Saxen, Mitchell",35,35,1092,31.2,166,297,0.559,0,1,0,75,120,0.625,407,11.6,106,161,267,7.6,111,60,64,26,42,Saint Mary's,1
"Bowen, Kyle",35,35,1174,33.5,65,157,0.414,33,87,0.379,22,36,0.611,185,5.3,75,173,248,7.1,102,61,24,43,31,Saint Mary's,1
"Marciulionis, Augustas",35,9,546,15.6,63,152,0.414,15,60,0.25,64,88,0.727,205,5.9,8,34,42,1.2,59,54,35,19,5,Saint Mary's,1
"Barrett, Luke",27,0,260,9.6,22,47,0.468,9,25,0.36,12,19,0.632,65,2.4,15,39,54,2,26,4,9,6,5,Saint Mary's,1
"Jefferson, Joshua",34,0,275,8.1,23,53,0.434,9,29,0.31,19,28,0.679,74,2.2,12,36,48,1.4,29,17,18,16,5,Saint Mary's,1
"Wessels, Harry",34,0,236,6.9,34,57,0.596,0,0,0,21,34,0.618,89,2.6,32,28,60,1.8,40,9,18,4,5,Saint Mary's,1
"Howell, Chris",28,0,114,4.1,6,23,0.261,1,9,0.111,4,6,0.667,17,0.6,0,11,11,0.4,16,3,7,6,2,Saint Mary's,1
"Baldwin Jr., Adrian ""Ace""",30,30,1047,34.9,125,297,0.421,38,111,0.342,93,117,0.795,381,12.7,18,69,87,2.9,66,173,80,67,4,VCU,0
"Johns Jr., Brandon",34,34,951,28,139,269,0.517,14,45,0.311,104,147,0.707,396,11.6,57,120,177,5.2,72,25,75,36,28,VCU,0
"Nunn, Jayden",35,35,996,28.5,107,247,0.433,40,99,0.404,70,100,0.7,324,9.3,13,75,88,2.5,75,53,41,51,19,VCU,0
"DeLoach, Jalen",34,32,834,24.5,131,233,0.562,0,0,0,69,119,0.58,331,9.7,89,145,234,6.9,107,35,64,36,47,VCU,0
"Watkins, Jamir",35,17,819,23.4,109,264,0.413,36,106,0.34,80,111,0.721,334,9.5,36,153,189,5.4,54,51,61,41,23,VCU,0
"Shriver, David",35,2,672,19.2,74,184,0.402,60,149,0.403,18,23,0.783,226,6.5,11,68,79,2.3,44,19,21,14,11,VCU,0
"Kern Jr., Nick",35,19,615,17.6,80,129,0.62,2,8,0.25,23,38,0.605,185,5.3,26,68,94,2.7,64,29,32,24,9,VCU,0
"Jackson, Zeb",35,5,607,17.3,59,151,0.391,10,54,0.185,54,70,0.771,182,5.2,8,45,53,1.5,46,61,43,31,5,VCU,0
"Banks, Josh",28,0,237,8.5,24,58,0.414,12,35,0.343,19,22,0.864,79,2.8,3,17,20,0.7,11,6,12,5,4,VCU,0
"Lawal, Toibu ""Tobi""",25,1,137,5.5,14,27,0.519,0,0,0,5,17,0.294,33,1.3,14,14,28,1.1,27,3,12,4,7,VCU,0
"Billups III, Alphonzo ""Fats""",8,0,34,4.3,1,5,0.2,0,3,0,0,0,0,2,0.3,1,3,4,0.5,5,0,5,0,0,VCU,0
"Fermin, Christian",14,0,48,3.4,1,3,0.333,0,0,0,4,10,0.4,6,0.4,3,7,10,0.7,4,0,4,2,3,VCU,0
"Henderson VI, Arnold",4,0,3,0.8,0,0,0,0,0,0,1,2,0.5,1,0.3,0,0,0,0,0,1,0,0,0,VCU,0
"Sanogo, Adama",39,39,1038,26.6,277,457,0.606,19,52,0.365,98,128,0.766,671,17.2,102,197,299,7.7,104,51,75,27,32,Uconn,6
"Hawkins, Jordan",37,37,1088,29.4,182,445,0.409,109,281,0.388,125,141,0.887,598,16.2,36,104,140,3.8,82,47,50,26,19,Uconn,6
"Newton, Tristen",39,38,1121,28.7,107,286,0.374,45,123,0.366,133,163,0.816,392,10.1,45,130,175,4.5,81,183,93,43,10,Uconn,6
"Karaban, Alex",39,38,1129,28.9,130,273,0.476,66,164,0.402,38,47,0.809,364,9.3,61,115,176,4.5,95,66,46,21,28,Uconn,6
"Jackson Jr., Andre",36,31,1047,29.1,92,213,0.432,25,89,0.281,31,48,0.646,240,6.7,67,156,223,6.2,101,169,71,39,18,Uconn,6
"Clingan, Donovan",39,0,508,13,112,171,0.655,0,1,0,45,87,0.517,269,6.9,86,133,219,5.6,73,18,40,16,70,Uconn,6
"Alleyne, Nahiem",39,8,698,17.9,71,196,0.362,32,105,0.305,27,31,0.871,201,5.2,14,32,46,1.2,56,33,25,18,2,Uconn,6
"Calcaterra, Joey",38,0,550,14.5,73,175,0.417,50,112,0.446,23,26,0.885,219,5.8,15,50,65,1.7,37,46,30,22,2,Uconn,6
"Diarra, Hassan",36,3,460,12.8,25,83,0.301,7,37,0.189,19,37,0.514,76,2.1,12,36,48,1.3,44,66,38,28,8,Uconn,6
"Johnson, Samson",12,1,46,3.8,4,8,0.5,0,2,0,3,3,1,11,0.9,6,3,9,0.8,6,1,2,2,0,Uconn,6
"Hasson, Yarin",11,0,11,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0.1,3,0,0,0,1,Uconn,6
"Hendry, Emmett",9,0,7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Uconn,6
"Hurley, Andrew ",15,0,21,1.4,1,7,0.143,0,3,0,0,0,0,2,0.1,0,3,3,0.2,2,0,3,2,0,Uconn,6
"Johnson Jr., Andre",9,0,11,1.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uconn,6
"Roumoglou, Apostolos",20,0,29,1.5,2,7,0.286,0,2,0,2,3,0.667,6,0.3,2,5,7,0.4,4,1,2,1,0,Uconn,6
"Springs, Richie",19,0,36,1.9,6,9,0.667,0,0,0,3,5,0.6,15,0.8,3,9,12,0.6,4,3,1,0,0,Uconn,6
"Clayton Jr., Walter",32,31,971,30.3,182,400,0.455,72,167,0.431,102,107,0.953,538,16.8,18,118,136,4.3,77,103,57,59,19,Iona,0
"Jenkins, Daniss",35,35,1173,33.5,199,476,0.418,56,155,0.361,92,117,0.786,546,15.6,40,113,153,4.4,74,173,78,48,20,Iona,0
"Junior Joseph, Nelly",35,34,1116,31.9,192,349,0.55,0,5,0,136,218,0.624,520,14.9,124,202,326,9.3,96,39,66,42,52,Iona,0
"Slazinski, Quinn",7,3,186,26.6,29,68,0.426,9,31,0.29,12,16,0.75,79,11.3,10,30,40,5.7,13,13,12,4,2,Iona,0
